framework_short_name,lot_number,salesforce_id,supplier_name
RM1043iv,2,001b000003OCdchAAD,Devonshire Appointments Ltd
RM1043iv,1,001b000003OCdciAAD,Digital Accessibility Centre
RM1043iv,2,001b000003OCdciAAD,Digital Accessibility Centre
RM1043iv,3,001b000003OCdciAAD,Digital Accessibility Centre
RM1043iv,4,001b000003OCdciAAD,Digital Accessibility Centre
RM1043iv,1,001b000003OCdcKAAT,Calba Limited
RM1043iv,2,001b000003OCdcKAAT,Calba Limited
RM1043iv,1,001b000003OCddeAAD,Infosys Limited
RM1043iv,2,001b000003OCddeAAD,Infosys Limited
RM1043iv,1,001b000003OCddOAAT,Helyx SIS Ltd
RM1043iv,2,001b000003OCddOAAT,Helyx SIS Ltd
RM1043iv,4,001b000003OCddOAAT,Helyx SIS Ltd
RM1043iv,1,001b000003OCde6AAD,Zoocha Limited
RM1043iv,2,001b000003OCde6AAD,Zoocha Limited
RM1043iv,1,001b000003OCdEGAA1,CAPITA BUSINESS SERVICES LTD
RM1043iv,2,001b000003OCdEGAA1,CAPITA BUSINESS SERVICES LTD
RM1043iv,3,001b000003OCdEGAA1,CAPITA BUSINESS SERVICES LTD
RM1043iv,1,001b000003OCdeKAAT,Aerian Studios Ltd
RM1043iv,2,001b000003OCdeKAAT,Aerian Studios Ltd
RM1043iv,1,001b000003OCdeMAAT,Agilesphere LLP
RM1043iv,2,001b000003OCdeMAAT,Agilesphere LLP
RM1043iv,1,001b000003OCdexAAD,Redrock Consulting Ltd
RM1043iv,2,001b000003OCdexAAD,Redrock Consulting Ltd
RM1043iv,1,001b000003OCdeYAAT,CONTENT SUPPORT SERVICES LIMITED
RM1043iv,2,001b000003OCdeYAAT,CONTENT SUPPORT SERVICES LIMITED
RM1043iv,1,001b000003OCdF1AAL,AMETHYST RISK MANAGEMENT LTD
RM1043iv,2,001b000003OCdF1AAL,AMETHYST RISK MANAGEMENT LTD
RM1043iv,1,001b000003OCdF5AAL,ARCUS GLOBAL LTD
RM1043iv,2,001b000003OCdF5AAL,ARCUS GLOBAL LTD
RM1043iv,1,001b000003OCdFAAA1,BJSS LTD
RM1043iv,2,001b000003OCdFAAA1,BJSS LTD
RM1043iv,1,001b000003OCdFEAA1,CADENCE PARTNERSHIP LLP
RM1043iv,2,001b000003OCdFEAA1,CADENCE PARTNERSHIP LLP
RM1043iv,1,001b000003OCdFlAAL,FIVIUM LTD
RM1043iv,2,001b000003OCdFlAAL,FIVIUM LTD
RM1043iv,4,001b000003OCdfnAAD,CRD Research
RM1043iv,1,001b000003OCdFyAAL,HELPFUL TECHNOLOGY LTD
RM1043iv,1,001b000003OCdGeAAL,PFI KNOWLEDGE SOLUTIONS LTD
RM1043iv,2,001b000003OCdGeAAL,PFI KNOWLEDGE SOLUTIONS LTD
RM1043iv,1,001b000003OCdGJAA1,MEDLEY BUSINESS SOLUTIONS LTD
RM1043iv,2,001b000003OCdGJAA1,MEDLEY BUSINESS SOLUTIONS LTD
RM1043iv,1,001b000003OCdH7AAL,SQS GROUP
RM1043iv,2,001b000003OCdH7AAL,SQS GROUP
RM1043iv,1,001b000003OCdH8AAL,SQUIZ UK LTD
RM1043iv,1,001b000003OCdhiAAD,Baytree IT Services Ltd
RM1043iv,2,001b000003OCdhiAAD,Baytree IT Services Ltd
RM1043iv,1,001b000003OCdhpAAD,BINARY VISION LTD
RM1043iv,1,001b000003OCdidAAD,DevOpsGuys
RM1043iv,2,001b000003OCdidAAD,DevOpsGuys
RM1043iv,1,001b000003OCdipAAD,E3 MEDIA LTD
RM1043iv,2,001b000003OCdipAAD,E3 MEDIA LTD
RM1043iv,3,001b000003OCdipAAD,E3 MEDIA LTD
RM1043iv,1,001b000003OCdj8AAD,Finyx Consulting Ltd
RM1043iv,2,001b000003OCdj8AAD,Finyx Consulting Ltd
RM1043iv,1,001b000003OCdjlAAD,Identity E2E
RM1043iv,2,001b000003OCdjlAAD,Identity E2E
RM1043iv,1,001b000003OCdkbAAD,Methods Analytics Limited
RM1043iv,2,001b000003OCdkbAAD,Methods Analytics Limited
RM1043iv,1,001b000003OCdkcAAD,Methods Digital Limited
RM1043iv,2,001b000003OCdkcAAD,Methods Digital Limited
RM1043iv,3,001b000003OCdkcAAD,Methods Digital Limited
