URN,CustomerName,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10008818,Independent Housing Ombudsman,2nd Floor 81 Aldwych,London,Greater London,London,Greater London,England,WC2B 4HN,Central Government,Executive non-departmental public body,True
10008789,Human Fertilisation and Embryology Authority,Finsbury Tower 103-105 Bunhill Row,London,Greater London,London,Greater London,England,EC1Y 8HF,Central Government,Executive non-departmental public body,True
10008684,HM Prison Morton Hall,"4 Park Crescent, Swinderby",Lincoln,Lincolnshire,Lincoln,Lincolnshire,England,LN6 9HU,Central Government,Prisons,True
10008654,HM Inspectorate of Probation,"6th Floor, South Wing, Trafford House Chester Road Stretford",Manchester,Greater Manchester,Manchester,Greater Manchester,England,M32 0RS,Central Government,Other,True
10008621,Highbury Corner Magistrates Court,51 Holloway Road,London,Greater London,London,Greater London,England,N7 8JA,Central Government,,True
10008618,High Peak Borough Council,Buxton Town Hall Market Place,Buxton,Derbyshire,Buxton,Derbyshire,England,SK17 6EL,Wider Public Sector,Region: East Midlands,True
10008433,Greater London Magistrates Court Service,The Property & Contracts Dept 185 Marlebone Road,London,Greater London,London,Greater London,England,NW1 5QL,Central Government,,True
10008141,Employment Tribunal,3rd Floor Alexandra House 14-22 The Parsonage,Manchester,Greater Manchester,Manchester,Greater Manchester,England,M3 2JA,Central Government,TBA,True
10008000,Duke of Yorks Royal Military School,Estates Office Building 71,Dover,Kent,Dover,Kent,England,CT15 5EQ,Central Government,Specialist Schools,True
10007845,Defence Academy of the United Kingdom,Building 15 Greenhill House Shrivenham,Swindon,Wiltshire,Swindon,Wiltshire,England,SN6 8LA,Central Government,Specialist Schools,True
10007764,Criminal Injuries Compensation Authority,Morley House 26-30 Holborn Viaduct 300 Bath Street,London,Greater London,London,Greater London,England,EC1A 2JQ,Central Government,Executive Agency,True
10007742,First-Tier Tribunal (Asylum and Immigration),4th Floor Cardinal Tower 12 Farringdon Road,London,Greater London,London,Greater London,England,EC1M 3BA,Central Government,TBA,True
10007515,Children and Family Court Advisory and Support Service (CAFCASS),13th/14th Floors Archway Tower 2 Junction Road,London,Greater London,London,Greater London,England,N19 5HQ,Central Government,Executive non-departmental public body,True
10007343,Project Phoenix,Elm 1a Mod Abbywood Station Road,Bristol,Gloucestershire,Bristol,Gloucestershire,England,BS34 8JH,Central Government,,True
10007029,Balladen Community Primary School,Linden Lea Rawtenstall,Rossendale,Lancashire,Rossendale,Lancashire,England,BB4 6DX,Wider Public Sector,Local Authority Maintained School (All Types),True
